username, password,displayName,firstName,middleName,lastName,gender,birthdate,email,phoneNumber,phoneCode,languageCode,postalCode, avatarFileId,pdpa,receiveSMS,receiveEmail,receiveDirectMail,posCustomerId,extraPhoneNumber,region
osimtest030@hotmail.com,Osimtest1@,osimtest030@hotmail.com,Mickey30,mn30,Osim30,Male,1972/9/26,osimtest030@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest031@hotmail.com,Osimtest1@,osimtest031@hotmail.com,Mickey31,mn31,Osim31,Female,1972/9/17,osimtest031@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest032@hotmail.com,Osimtest1@,osimtest032@hotmail.com,Mickey32,mn32,Osim32,Male,1972/9/18,osimtest032@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest033@hotmail.com,Osimtest1@,osimtest033@hotmail.com,Mickey33,mn33,Osim33,Female,1972/9/19,osimtest033@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest034@hotmail.com,Osimtest1@,osimtest034@hotmail.com,Mickey34,mn34,Osim34,Male,1972/9/20,osimtest034@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest035@hotmail.com,Osimtest1@,osimtest035@hotmail.com,Mickey35,mn35,Osim35,Female,1972/9/21,osimtest035@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest036@hotmail.com,Osimtest1@,osimtest036@hotmail.com,Mickey36,mn36,Osim36,Male,1972/9/22,osimtest036@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest037@hotmail.com,Osimtest1@,osimtest037@hotmail.com,Mickey37,mn37,Osim37,Female,1972/9/23,osimtest037@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest038@hotmail.com,Osimtest1@,osimtest038@hotmail.com,Mickey38,mn38,Osim38,Male,1972/9/24,osimtest038@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest039@hotmail.com,Osimtest1@,osimtest039@hotmail.com,Mickey39,mn39,Osim39,Female,1972/9/25,osimtest039@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest040@hotmail.com,Osimtest1@,osimtest040@hotmail.com,Mickey40,mn40,Osim40,Male,1972/9/26,osimtest040@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
osimtest041@hotmail.com,Osimtest1@,osimtest041@hotmail.com,Mickey41,mn41,Osim41,Female,1972/9/17,osimtest041@hotmail.com,11111111,65,en,123456,,TRUE,,TRUE,,,13100001,SG
osimtest042@hotmail.com,Osimtest1@,osimtest042@hotmail.com,Mickey42,mn42,Osim42,Male,1972/9/18,osimtest042@hotmail.com,22222222,65,ch,123456,,TRUE,,TRUE,,,13100002,SG
osimtest043@hotmail.com,Osimtest1@,osimtest043@hotmail.com,Mickey43,mn43,Osim43,Female,1972/9/19,osimtest043@hotmail.com,33333333,65,en,123456,,TRUE,,TRUE,,,13100003,SG
osimtest044@hotmail.com,Osimtest1@,osimtest044@hotmail.com,Mickey44,mn44,Osim44,Male,1972/9/20,osimtest044@hotmail.com,44444444,65,ch,123456,,TRUE,,TRUE,,,13100004,SG
osimtest045@hotmail.com,Osimtest1@,osimtest045@hotmail.com,Mickey45,mn45,Osim45,Female,1972/9/21,osimtest045@hotmail.com,55555555,65,en,123456,,TRUE,,TRUE,,,13100005,SG
osimtest046@hotmail.com,Osimtest1@,osimtest046@hotmail.com,Mickey46,mn46,Osim46,Male,1972/9/22,osimtest046@hotmail.com,66666666,65,ch,123456,,,TRUE,,TRUE,,13100006,SG
osimtest047@hotmail.com,Osimtest1@,osimtest047@hotmail.com,Mickey47,mn47,Osim47,Female,1972/9/23,osimtest047@hotmail.com,77777777,65,en,123456,,,TRUE,,TRUE,,13100007,SG
osimtest048@hotmail.com,Osimtest1@,osimtest048@hotmail.com,Mickey48,mn48,Osim48,Male,1972/9/24,osimtest048@hotmail.com,88888888,65,ch,123456,,,TRUE,,TRUE,,13100008,SG
osimtest049@hotmail.com,Osimtest1@,osimtest049@hotmail.com,Mickey49,mn49,Osim49,Female,1972/9/25,osimtest049@hotmail.com,99999999,65,en,123456,,,TRUE,,TRUE,,13100009,SG
osimtest050@hotmail.com,Osimtest1@,osimtest050@hotmail.com,Mickey50,mn50,Osim50,Male,1972/9/26,osimtest050@hotmail.com,11111112,65,ch,123456,,,TRUE,,TRUE,,13100010,SG
